,first_name,last_name,email,email_verified,signup_date,referral_count,balance
nicholas.padilla,Nicholas,Padilla,nicholas@olsen.com,True,2018-06-10,6,88.74
nicholas.travis,Nicholas,Travis,nicholas@hotmail.com,False,2018-05-22,7,92.42
nicholas5556,Nicholas,Walsh,nwalsh@nelson.info,True,2018-06-24,1,86.62
nichols,Nicholas,Nichols,nicholas9581@hotmail.com,True,2018-06-20,4,86.06
ortiz5962,Julia,Ortiz,jortiz@rogers.com,True,2018-09-10,5,54.45
owens,Kristine,Owens,owens@hotmail.com,True,2018-08-27,1,21.64
paige.lewis,Paige,Lewis,paige@hotmail.com,True,2018-07-16,1,75.58
palmer,Michael,Palmer,michael.palmer@gmail.com,True,2018-03-24,2,53.85
pamela,Pamela,Lynch,pamela.lynch@yahoo.com,True,2018-09-25,0,85.82
parker,Michelle,Parker,michelle@gmail.com,True,2018-09-17,2,82.78
parker4621,Caleb,Parker,caleb@yahoo.com,True,2018-07-16,2,68.69
parsons,Steven,Parsons,parsons@hotmail.com,True,2018-08-09,6,68.76
patricia,Patricia,Smith,patricia@gmail.com,True,2018-09-25,3,71.36
patricia2613,Patricia,Wang,pwang@yahoo.com,True,2018-07-06,1,43.59
paul6364,Paul,Hill,paul2980@hotmail.com,True,2018-02-28,1,98.62
paul9642,Paul,Dalton,dalton4600@gmail.com,True,2018-02-23,0,61.26
paula7980,Paula,Larson,plarson@hotmail.com,True,2018-02-09,2,44.54
payne,Tyler,Payne,tyler.payne@wagner.com,True,2018-02-19,2,56.87
peter,Peter,Grimes,pgrimes@yahoo.com,True,2018-09-02,0,96.79
peters1942,Christopher,Peters,christopher.peters@gmail.com,False,2018-07-04,4,6.05
phillips5654,Vanessa,Phillips,vanessa.phillips@yahoo.com,True,2018-02-03,4,68.96
porter,Mark,Porter,mark@hotmail.com,True,2018-02-12,4,48.56
rachel,Rachel,,rachel5266@hotmail.com,True,2018-03-12,6,14.81
rachel.ellison,Rachel,Ellison,ellison@gmail.com,True,2018-04-08,0,65.31
rebecca,Rebecca,Yoder,rebecca.yoder@miranda.biz,True,2018-08-12,1,16.44
rebecca848,Rebecca,,rebecca759@hotmail.com,False,2018-06-23,0,22.73
reid,Samuel,Reid,samuel.reid@gmail.com,True,2018-06-24,5,0.73
rholmes,Robert,Holmes,rholmes@yahoo.com,True,2018-05-04,4,55.37
robert,Robert,Brown,robert@gmail.com,True,2018-07-12,3,53.16
robert284,Robert,Davidson,robert.davidson@gmail.com,True,2018-05-21,3,32.63
robert8280,Robert,,robert@gmail.com,True,2018-09-22,2,56.89
roberts,David,Roberts,david.roberts@hotmail.com,True,2018-06-09,2,29.5
robinson,Teresa,Robinson,trobinson@hotmail.com,True,2018-03-10,1,17.31
robinson5269,Dan,Robinson,drobinson@yahoo.com,True,2018-06-15,2,79.28
rodriguez,Amy,Rodriguez,amy.rodriguez@gmail.com,True,2018-04-29,0,15.96
rodriguez5768,Joshua,Rodriguez,joshua.rodriguez@hotmail.com,True,2018-01-04,3,51.06
rodriguez585,Renee,Rodriguez,rodriguez6865@yahoo.com,True,2018-07-04,0,52.35
rodriguez9475,Amanda,Rodriguez,amanda@yahoo.com,False,2018-04-30,6,77.81
roger,Roger,Rangel,roger.rangel@gmail.com,True,2018-03-04,0,87.21
rogers,Emily,Rogers,emily6420@gmail.com,True,2018-07-24,7,69.07
roman7509,Amy,Roman,amy4377@lang.org,True,2018-03-21,5,55.53
rose.eaton,Rose,Eaton,reaton@gmail.com,True,2018-01-21,7,90.03
ross9165,Jacqueline,Ross,jacqueline.ross@hawkins.com,True,2018-09-11,0,24.44
rsnow,Randy,Snow,randy5950@johnson.com,True,2018-01-31,5,40.78
ruiz2577,Tommy,Ruiz,ruiz@hotmail.com,False,2018-02-21,2,54.8
ruth,Ruth,Randall,randall@yahoo.com,False,2018-01-28,0,70.39
sabrina.haas,Sabrina,Haas,sabrina.haas@hotmail.com,True,2018-03-25,2,11.6
samuel.conner,Samuel,Conner,conner4407@roberts.info,True,2018-03-30,5,0.18
samuel1489,Samuel,Dominguez,samuel@gmail.com,False,2018-01-24,4,31.53
sanders,Joy,Sanders,jsanders@hotmail.com,True,2018-09-15,0,34.5
sandra.vaughn,Sandra,Vaughn,vaughn@hotmail.com,True,2018-06-11,5,79.74
sandra2071,Sandra,,sandra63@yahoo.com,True,2018-01-18,1,45.22
sandra2565,Sandra,Zuniga,sandra5507@hotmail.com,True,2018-04-21,6,54.98
sarah,Sarah,Ibarra,ibarra6062@gmail.com,False,2018-06-13,6,16.98
sarah.evans,Sarah,Evans,evans1842@hotmail.com,False,2018-03-20,6,3.17
sbennett,Steven,Bennett,sbennett@yahoo.com,True,2018-02-07,5,97.38
scott3928,Scott,,scott@yahoo.com,True,2018-02-26,5,72.02
sexton,David,Sexton,david.sexton@hotmail.com,True,2018-07-29,2,21.81
sfinley,Samuel,Finley,samuel@gmail.com,False,2018-03-09,2,83.62
shari,Shari,Williams,shari@hotmail.com,True,2018-02-06,6,67.04
shelly,Shelly,Johnson,johnson7039@yahoo.com,True,2018-05-29,0,18.03
sheri.clements,Sheri,Clements,sheri@gmail.com,True,2018-09-08,3,62.13
shernandez,Shannon,Hernandez,hernandez8777@gmail.com,True,2018-09-04,4,34.11
sherry6113,Sherry,,sherry@hotmail.com,True,2018-04-06,7,21.79
singh2309,Carol,Singh,carol.singh@hotmail.com,True,2018-02-15,6,34.22
smercer,Scott,Mercer,smercer@yahoo.com,True,2018-09-19,2,76.77
smith,William,Smith,smith1172@hotmail.com,False,2018-05-02,4,65.79
smith6248,James,Smith,smith@gmail.com,False,2018-03-30,1,19.23
smith6903,Susan,Smith,ssmith@yahoo.com,True,2018-09-06,6,27.53
smith8419,Shawn,Smith,shawn@hotmail.com,True,2018-06-08,2,58.85
smith9087,Kimberly,Smith,kimberly@hotmail.com,True,2018-01-01,6,54.04
smoyer,Sydney,Moyer,sydney7488@hotmail.com,True,2018-01-03,2,90.87
sophia.perez,Sophia,Perez,perez@hotmail.com,True,2018-09-05,1,27.71
spadilla,Susan,Padilla,susan6496@kelly-cruz.info,True,2018-05-01,3,88.32
spence,James,Spence,spence@gmail.com,True,2018-04-20,0,47.28
sstanton,Samantha,Stanton,samantha.stanton@gmail.com,True,2018-01-25,3,43.05
stanley7729,Stanley,Spence,stanley.spence@gmail.com,False,2018-03-24,3,62.15
staylor,Samantha,Taylor,samantha@yahoo.com,True,2018-04-19,6,4.92
stein,Douglas,Stein,stein@yahoo.com,False,2018-01-02,1,48.52
stephanie4610,Stephanie,Fuller,stephanie9430@nguyen.com,False,2018-04-14,5,66.21
stephanie5596,Stephanie,Owens,stephanie.owens@gmail.com,True,2018-04-08,3,29.75
steven,Steven,Conner,conner7093@gmail.com,False,2018-02-14,4,83.16
steven3847,Steven,Jackson,sjackson@yahoo.com,True,2018-04-08,7,16.95
stevens8089,Lisa,Stevens,lisa@davis.com,True,2018-06-16,1,39.29
sthompson,Sarah,Thompson,sarah@rodriguez.biz,False,2018-05-05,2,9.29
sward,Susan,Ward,sward@gmail.com,False,2018-06-21,2,39.5
tamara,Tamara,,tamara6323@gmail.com,True,2018-06-15,5,16.78
tammy.brown,Tammy,Brown,tammy.brown@yahoo.com,True,2018-07-10,2,6.3
tammy7432,Tammy,Pacheco,tammy.pacheco@yahoo.com,True,2018-05-30,4,7.1
tanya.carlson,Tanya,Carlson,tcarlson@hotmail.com,True,2018-01-13,0,27.79
tara.clark,Tara,Clark,tara4681@hotmail.com,False,2018-04-18,7,65.16
taylor1468,Taylor,Long,tlong@hotmail.com,True,2018-04-03,0,8.45
taylor2783,Taylor,,taylor@lewis.info,True,2018-01-07,1,11.19
taylor7649,Michael,Taylor,taylor2184@gmail.com,True,2018-08-18,7,83.97
tbender,Travis,Bender,travis@yahoo.com,False,2018-07-30,0,50.55
tgeorge,Travis,George,george6344@chavez-jackson.com,True,2018-03-11,0,37.59
theresa5909,Theresa,Mitchell,theresa@hotmail.com,True,2018-08-30,5,63.46
thomas.price,Thomas,Price,price@hotmail.com,True,2018-09-21,6,10.16
thompson2327,Troy,Thompson,troy.thompson@gmail.com,False,2018-04-24,7,98.09
thompson2826,Frank,Thompson,thompson1904@hotmail.com,False,2018-09-21,0,41.82
thompson9387,Patrick,Thompson,pthompson@yahoo.com,True,2018-05-11,3,36.39
tiffany.bowen,Tiffany,Bowen,tiffany@hamilton.biz,True,2018-03-12,6,86.38
timothy.heath,Timothy,Heath,heath6503@gmail.com,True,2018-06-09,6,76.78
timothy3285,Timothy,Davis,davis@jones.net,True,2018-08-04,5,43.24
tina3658,Tina,,tina@hotmail.com,True,2018-08-26,2,17.41
tjohnson,Taylor,Johnson,johnson5212@gmail.com,True,2018-06-10,3,93.84
tmaxwell,Tiffany,Maxwell,tiffany@gmail.com,True,2018-05-10,6,3.9
torres,Taylor,Torres,taylor.torres@ware.info,True,2018-01-12,7,21.88
tstewart,Tricia,Stewart,tricia@yahoo.com,True,2018-06-04,4,22.33
twebster,Taylor,Webster,taylor.webster@gmail.com,True,2018-05-25,0,51.8
twhite,Timothy,White,white5136@hotmail.com,True,2018-07-06,5,99.9
tyler.zavala,Tyler,Zavala,tyler.zavala@murray.com,True,2018-07-08,2,5.98
valerie,Valerie,Cannon,valerie.cannon@yahoo.com,True,2018-04-30,2,28.31
vang,Tammie,Vang,vang@gmail.com,True,2018-07-04,5,24.61
victor,Victor,Tanner,victor@sullivan-fowler.org,False,2018-09-20,1,53.55
walsh,Kelli,Walsh,walsh@hotmail.com,True,2018-02-08,1,14.7
walters2042,Leslie,Walters,walters8435@gmail.com,True,2018-07-27,2,40.83
watts,Jenna,Watts,jenna@gmail.com,True,2018-03-12,0,54.5
wbrown,Wesley,Brown,wesley@hotmail.com,True,2018-06-24,7,35.64
wesley.hayes,Wesley,Hayes,wesley.hayes@gmail.com,True,2018-08-17,3,90.44
west,Brian,West,west@yahoo.com,True,2018-01-30,3,52.83
wilkins,David,Wilkins,david1254@goodman.info,True,2018-08-06,4,52.15
william,William,,william@hotmail.com,True,2018-06-13,4,4.69
william.lee,William,Lee,lee5646@yahoo.com,True,2018-05-30,3,67.65
william2231,William,Douglas,douglas8813@yahoo.com,True,2018-05-19,4,85.32
william4588,William,Pittman,william.pittman@gmail.com,True,2018-04-11,2,2.04
william6714,William,,william5677@yahoo.com,True,2018-04-26,3,74.65
wilson,Robert,Wilson,robert@yahoo.com,False,2018-05-16,5,59.75
wking,Wanda,King,wanda.king@holt.com,True,2018-06-01,2,67.08
wright3590,Jacqueline,Wright,jacqueline.wright@gonzalez.com,True,2018-02-08,6,18.48
young,Jessica,Young,jessica4028@yahoo.com,True,2018-07-17,4,75.39
zachary.neal,Zachary,Neal,zneal@gmail.com,True,2018-07-26,1,39.9
